index,familia,latin name,migrant,portugues,english,iucn,mma,description
124,Psittacidae,Amazona pretrei,MGT,papagaio-char�o,Red-spectacled Parrot,VU,VU," endemic to Brazil and occurs in SC and RS. Breeding grounds are known for this species only in RS (Belton, 1984; Prestes et al., 1997). After leaving the breeding areas in several regions of RS, the entire population performs a longitudinal and altitudinal migration from January, searching for a larger supply of Araucaria angustifolia seeds, to northeastern RS and from there to southeastern SC (Martinez & Prestes, 2002) when juveniles are already part of the flock. The return to its breeding areas occurs between June and August, depending on the availability and duration of the pine season in the highlands of SC (Prestes & Martinez, 2008). Photographic records (WikiAves, 2016) and field data (N.P. Prestes & J. Martinez, pers. obs.) show the presence of this species in SC from January to June and in RS almost in every month, but with few records in April and May."
125,Furnariidae,,MGT,,,,,
126,Furnariidae,Cinclodes fuscus,MGT,pedreiro-dos-andes,Buff-winged Cinclodes,,," is regarded as resident in Colombia, Venezuela, Ecuador, Peru, Bolivia, Chile and Argentina, but the population that breeds in central and southern Chile and Argentina migrates to southern Brazil, southeastern Paraguay, Uruguay and northern Argentina during winter (Remsen Jr., 2003). In Brazil, the northern-most record of the species is for Lagoa do Peri in Florian�polis, SC in May and other records are restricted to RS (Naka et al., 2000) between April and September (WikiAves, 2016; MNRJ; MZUSP)."
127,Tityridae,,MGT,,,,,
128,Tityridae,Phytotoma rutila,MGT,corta-ramos,White-tipped Plantcutter,,," occurs in Bolivia, Argentina, Paraguay, Uruguay and Brazil, where it is recorded only in RS and occurs occasionally as a winter visitor in the extreme western region of the state (Belton, 1985), especially in the region of the Espinilho State Park (FZBRS, 2013). Photographic records indicate that this species occurs in RS only between April and August (WikiAves, 2016)."
129,Tyrannidae,,MGT,,,,,
130,Tyrannidae,Inezia inornata,MGT,alegrinho-do-chaco,Plain Tyrannulet,,," breeds in Argentina, Paraguay and eastern Bolivia, and has been recorded in Peru, Brazil and northern Bolivia during austral winter (Fitzpatrick, 2004), when it settles in tropical lowlands that are hot and humid (Joseph, 1996). Available data about breeding activities are restricted to the presence of birds with enlarged gonads in November in Bolivia (Fitzpatrick, 2016). It occurs in MT and MS from May to September (MZUSP). There is also a localized banding record for southeastern PA in September (SNA, 2016), and records for RO in July (Capllonch et al., 2009) and August and in AC from May to August (MPEG). Further studies are necessary to fully comprehend this species� migratory pattern."
131,Tyrannidae,Elaenia chilensis,MGT,guaracava-de-crista-branca,Chilean Elaenia,,," breeds mainly in southern Argentina and Chile in Patagonia (Capllonch et al., 2011), but it can also be further north in Chile, for instance in the Fray Jorge Reserve (Pyle et al., 2015). It migrates north during austral winter, at least in part through the Brazilian coast, but it also seems to fly along the east slope of the Andes (Marini & Cavalcanti, 1990), reaching northeastern and northern Brazil (Amazon Basin included), Peru, and possibly Colombia, respectively (Hosner, 2016). In Bolivia there are records during the breeding season, but they are probably related to late migrants (Hosner, 2016). The migration southwards seems to follow a diffuse route from the Amazon to Central Brazil (Marini & Cavalcanti, 1990). West-central Argentina (e.g., Mendoza and San Juan Provinces) also seems to be part of a spring migration route to Patagonia (Cueto et al., 2016), and this species reaches its breeding sites in Patagonia in mid-October (Brown et al., 2007). Geolocation data (Jim�nez et al., 2016) suggested that three individuals banded on Navarino Island in Tierra del Fuego migrated north at the end of February along the eastern coast of South America, stopped for around 10 days on the eastern coast of Brazil, before flying west to wintering grounds in east-central Amazonia, where they arrived between late April and early June. They departed from this site between late September and late October and arrived back at the breeding site between late November and early December (Jim�nez et al., 2016). In Brazil, vocal records and collected specimens corroborate this pattern to the Amazon region (WikiAves, 2016; MPEG). In northeastern Brazil, records include data from the literature and are from February to July (WikiAves, 2016; Ruiz-Esparza et al., 2011; MPEG). In southeastern and southern Brazil, records are centered in February and May (Pacheco & Gonzaga, 1994; WikiAves, 2016; MZUSP)."
132,Tyrannidae,Pseudocolopteryx acutipennis,MGT,tricolino-oliv�ceo,Subtropical Doradito,,," occurs in central and eastern Andes from Colombia to northwestern Argentina and in lowlands in western Paraguay, in addition to occasional records for southeastern Peru, northeastern and eastern Bolivia and extreme southwestern Brazil (MT and MS) (Grantsau, 2010; Bostwick, 2016). It breeds from December to April in the Bolivian highlands and populations from Bolivia, as well as those from Argentina, migrate along the Andes towards the Amazonian lowlands and the Paraguayan Chaco. It is recorded for the lowlands of Bolivia and Peru only as an austral winter visitor (Bostwick, 2016). In Brazil, there are records for the coast of PR without precision of date, for a fluvial island in RO in June-July and for the Pantanal in MT and MS in May and September (Vasconcelos et al., 2008a). Although there is a lack of museum data, photographic records corroborate a migration during austral winter with records for the central-western region (MT, MS and GO) from May to September. There are two records for RS in December (WikiAves, 2016)."
133,Tyrannidae,Pseudocolopteryx flaviventris,MGT,amarelinho-do-junco,Warbling Doradito,,," breeds in central Chile, northern and eastern Argentina, Uruguay and southern Brazil from September to March and, during the non-breeding season, it migrates to extreme northern Argentina, Bolivia and Brazil, reaching SP and Paraguay (Botswick, 2004a). In Brazil, records corroborate this migratory pattern by showing occurrences between April and September for RS, SC, PR and SP (Ridgely & Tudor, 1994; Scherer-Neto et al., 2011; WikiAves, 2016; MZUSP 10947 [SP, 1922, June]). However, there is no recent evidence of breeding activity in Brazilian territory."
134,Tyrannidae,Serpophaga griseicapilla,MGT,alegrinho-trinador,Straneck's Tyrannulet,,," breeds in northwestern Argentina and perhaps southern Bolivia. During its non-breeding season, it migrates to Paraguay, Uruguay and southern Brazil (Cueto et al., 2008; Fjelds�, 2013). A winter visitor in extreme southern Brazil (Straneck, 1993), first documented in the country in RS in May of 2001 (Bencke et al., 2002). Photographic records verify its presence in SC in September, and in RS centered in the period between May and September (WikiAves, 2016; MZUSP 86172 [RS, 2009, August]), corroborating such a migratory pattern."
135,Tyrannidae,Attila phoenicurus,MGT,capit�o-castanho,Rufous-tailed Attila,,," occurs in Paraguay, Argentina, Bolivia, Venezuela and Brazil. It breeds in southern and southeastern Brazil (from RS to southern RJ) and probably in northeastern Argentina and eastern Paraguay (Walther, 2016). Migrants are recorded from Paraguay, eastern Bolivia, and central Brazil to southern Venezuela during austral winter (Walther, 2016). In the Brazilian Amazon, it is recorded only during austral winter from May to October (Ridgely & Tudor, 1994; MZUSP; MPEG), as corroborated by photographic records, museum specimens and banding data, while records for the southeastern and southern regions are centered in the period between October and April (Belton, 1985; SNA, 2016; WikiAves, 2016; MZUSP; MPEG)."
